;count;mean;std;min;25%;50%;75%;max
categorie_taille;676.0;1.3417159763313609;0.6711666012388078;0.0;1.0;1.0;2.0;5.0
detail_taille;676.0;15.4896449704142;6.855430668568171;0.0;11.0;12.0;21.0;50.0
nombre_communes;676.0;50.93639053254438;353.5860359753058;1.0;6.0;16.0;39.0;8921.0
conso_enaf_total;676.0;284983.8017751479;1460394.142673083;0.0;24417.0;67017.0;220681.0;35226174.0
conso_infra_total;676.0;14956.022189349113;60687.866890308505;0.0;104.75;1573.0;9503.25;1217874.0
conso_totale;676.0;299939.823964497;1515847.74130891;0.0;25152.75;70470.5;229952.75;36444048.0
evol_pop;676.0;1856.430473372781;13348.722829945735;-7634.0;-415.75;-78.0;446.5;252906.0
pop14;676.0;97495.23520710059;590423.4666431275;1464.0;8456.25;17117.5;50762.25;12872236.0
pop20;676.0;99351.66568047338;601247.7234975853;1538.0;8253.0;17155.5;50469.75;13125142.0
surfcom2023;676.0;943690793.5073965;9942499090.066591;2812464.0;113298214.5;287200291.5;664236172.75;257695331618.0
conso_act;676.0;73402.84467455621;371742.5665441126;0.0;1227.5;10547.0;45623.5;8431320.0
conso_hab;676.0;197012.72337278107;1007378.3140219849;0.0;17148.0;46864.5;152611.5;24535102.0
conso_mix;676.0;5151.702662721894;28964.580410876424;0.0;0.0;0.0;2521.25;633200.0
conso_rou;676.0;14000.495562130178;56070.35104745792;0.0;102.5;1554.0;9277.25;1118103.0
conso_fer;676.0;955.5266272189349;12359.603838702127;0.0;0.0;0.0;0.0;263922.0
conso_inc;676.0;9416.531065088757;67763.75635736094;-1.0;0.0;1.0;3358.25;1626552.0
densite_pop;676.0;128.2060556872956;158.49355217692263;7.519914854612821;46.398490526657234;82.32293631109576;152.3578299353249;1965.9664881532985
taux_evol_pop;676.0;-0.281963824671847;4.165879174855509;-11.5548132402065;-2.972750431963076;-0.5880196236819428;2.1244550245522045;39.57979111003158
conso_enaf_par_hab;669.0;4.08886320189065;3.429875137140048;0.0;1.781909603784633;3.2944557823129252;5.402168854137578;23.002774887270206
conso_par_nouvel_hab;669.0;-159.9654878656797;2195.921896135354;-33767.8;-143.073703366697;-21.52777777777778;114.98774740810556;7225.04347826087
coef_artif;669.0;0.00039424500908112424;0.0003596489873258305;0.0;0.0001408459649290477;0.00029326437651786854;0.0005325593756743023;0.002422294822352042
part_act;665.0;19.91248502464877;20.616955741882713;0.0;4.144295302013423;14.233169655784266;28.55321718515868;100.0
part_hab;665.0;71.12523237396492;22.574490605154708;0.0;59.59089960342309;75.26651974151135;88.38268491993294;100.0
part_mix;665.0;1.8370229067303938;5.127376172718331;0.0;0.0;0.0;1.5713009484828708;42.89674289674289
part_rou;665.0;4.553881379281258;8.564412346004321;0.0;0.28772991751742366;2.072636869696806;5.6544708232477525;94.70572605287632
part_fer;665.0;0.1860088288573725;2.3036195134364212;0.0;0.0;0.0;0.0;39.44649446494465
part_inc;665.0;2.385369486517283;6.46376394246818;-0.0016200366128274499;0.0;0.0008272119647938589;1.8824684891144212;66.33667318669913
