CODGEO,LIBCOM,cadres,ouvriers,total
nannan,CS,3.0,6.0,9.0
nannan,TYPE ACTIVITE,1.0,1.0,2.0
01001,L'Abergement-Clémenciat,44.0579752636278,67.9844557744112,112.04243103803901
01002,L'Abergement-de-Varey,9.77677128949535,15.1263059902419,24.90307727973725
01004,Ambérieu-en-Bugey,636.553205878041,1176.14968131307,1812.7028871911111
01005,Ambérieux-en-Dombes,90.2200571544846,154.235964684665,244.4560218391496
01006,Ambléon,9.91228070175439,29.7368421052632,39.64912280701759
01007,Ambronay,175.877786892654,217.729556184396,393.60734307705
01008,Ambutrix,39.8838154505628,96.4706695132442,136.354484963807
01009,Andert-et-Condon,4.63117271812181,20.2420284183087,24.87320113643051
01010,Anglefort,9.46331068883582,110.196922754203,119.66023344303882
01011,Apremont,42.1464599243134,29.4896930076953,71.6361529320087
01012,Aranc,9.66381653817842,26.1983556914032,35.86217222958162
01013,Arandas,10.2173913043478,5.10869565217391,15.32608695652171
01014,Arbent,91.1491298843995,482.210656061995,573.3597859463945
01015,Arboys en Bugey,62.303579517287,61.3665581468503,123.6701376641373
01016,Arbigny,9.8574184218947,54.783249620555,64.6406680424497
01017,Argis,0.0,57.5352305750372,57.5352305750372
01019,Armix,0.0,5.0,5.0
01021,Ars-sur-Formans,136.99641681336,88.8226023400898,225.8190191534498
01022,Artemare,25.0453746847593,76.5369996384463,101.5823743232056
01023,Asnières-sur-Saône,5.06578947368421,5.06578947368421,10.13157894736842
01024,Attignat,122.747570689975,241.150318705206,363.897889395181
01025,Bâgé-Dommartin,154.546376207031,334.273095473577,488.819471680608
01026,Bâgé-le-Châtel,35.0725810219332,60.1715202944489,95.2441013163821
01027,Balan,152.219199005093,191.002607939725,343.221806944818
01028,Baneins,29.6961259918277,29.6992612259358,59.3953872177635
01029,Beaupont,23.3581520047522,68.3824604752239,91.7406124799761
01030,Beauregard,53.5294502957006,50.2842052528006,103.8136555485012
01031,Bellignat,107.996870791163,326.617122095012,434.613992886175
01032,Béligneux,174.277885099431,240.956413770197,415.234298869628
01033,Valserhône,587.383606068354,1565.82651671891,2153.210122787264
01034,Belley,214.013670183701,802.609603202736,1016.6232733864371
01035,Belleydoux,10.0012663688582,14.874274518109,24.8755408869672
