CODGEO,AAV2020,LIBAAV2020,CATEAAV2020
01228,000,Commune hors attraction des villes,30
01229,080,Bourg-en-Bresse,20
01230,080,Bourg-en-Bresse,20
01231,084,Mâcon,20
01232,080,Bourg-en-Bresse,20
01233,000,Commune hors attraction des villes,30
01234,286,Belley,20
01235,002,Lyon,20
01236,080,Bourg-en-Bresse,20
01237,168,Oyonnax,20
01238,002,Lyon,20
01239,286,Belley,20
01240,168,Oyonnax,20
01241,080,Bourg-en-Bresse,20
01242,000,Commune hors attraction des villes,30
01243,002,Lyon,20
01244,002,Lyon,20
01245,080,Bourg-en-Bresse,20
01246,080,Bourg-en-Bresse,20
01247,GEN,Genève - Annemasse (partie française),20
01248,002,Lyon,20
01249,002,Lyon,20
01250,002,Lyon,20
01252,000,Commune hors attraction des villes,30
01254,080,Bourg-en-Bresse,20
01255,000,Commune hors attraction des villes,30
01257,GEN,Genève - Annemasse (partie française),20
01258,000,Commune hors attraction des villes,30
01259,080,Bourg-en-Bresse,20
01260,002,Lyon,20
01261,002,Lyon,20
01262,002,Lyon,20
01263,000,Commune hors attraction des villes,30
01264,080,Bourg-en-Bresse,20
01265,168,Oyonnax,20
01266,080,Bourg-en-Bresse,20
01267,168,Oyonnax,20
01268,286,Belley,20
01269,000,Commune hors attraction des villes,30
01272,524,Châtillon-sur-Chalaronne,20
01273,000,Commune hors attraction des villes,30
01274,000,Commune hors attraction des villes,30
01275,002,Lyon,20
01276,002,Lyon,20
01277,000,Commune hors attraction des villes,30
01279,000,Commune hors attraction des villes,30
01280,000,Commune hors attraction des villes,30
01281,GEN,Genève - Annemasse (partie française),20
01282,000,Commune hors attraction des villes,30
01283,168,Oyonnax,11
01284,084,Mâcon,20
01285,002,Lyon,20
01286,050,Chambéry,20
01288,GEN,Genève - Annemasse (partie française),20
01289,080,Bourg-en-Bresse,12
01290,002,Lyon,20
01291,080,Bourg-en-Bresse,20
01293,168,Oyonnax,20
01294,286,Belley,20
01295,000,Commune hors attraction des villes,30
01296,080,Bourg-en-Bresse,20
01297,002,Lyon,20
01298,168,Oyonnax,20
01299,002,Lyon,20
01301,080,Bourg-en-Bresse,20
01302,286,Belley,20
01303,000,Commune hors attraction des villes,30
01304,000,Commune hors attraction des villes,30
01305,084,Mâcon,20
01306,084,Mâcon,20
01307,168,Oyonnax,20
01308,GEN,Genève - Annemasse (partie française),20
01309,080,Bourg-en-Bresse,20
01310,286,Belley,20
01311,000,Commune hors attraction des villes,30
01313,GEN,Genève - Annemasse (partie française),20
01314,002,Lyon,20
01317,080,Bourg-en-Bresse,20
01318,002,Lyon,20
01319,524,Châtillon-sur-Chalaronne,20
01320,084,Mâcon,20
01321,080,Bourg-en-Bresse,20
01322,002,Lyon,20
01323,084,Mâcon,20
01325,002,Lyon,20
01328,080,Bourg-en-Bresse,20
01329,286,Belley,20
01330,000,Commune hors attraction des villes,30
01331,000,Commune hors attraction des villes,30
01332,084,Mâcon,20
01333,002,Lyon,20
01334,084,Mâcon,20
01335,002,Lyon,20
01336,080,Bourg-en-Bresse,20
01337,084,Mâcon,20
01338,000,Commune hors attraction des villes,30
01339,002,Lyon,20
01342,002,Lyon,20
01343,084,Mâcon,20
01344,080,Bourg-en-Bresse,12
01345,243,Ambérieu-en-Bugey,12
01346,080,Bourg-en-Bresse,20
01347,002,Lyon,20
01348,638,Saint-Didier-sur-Chalaronne,11
01349,002,Lyon,20
01350,080,Bourg-en-Bresse,20
01351,000,Commune hors attraction des villes,30
01352,084,Mâcon,20
01353,002,Lyon,20
01354,GEN,Genève - Annemasse (partie française),20
01355,080,Bourg-en-Bresse,20
01356,002,Lyon,20
01357,000,Commune hors attraction des villes,30
01358,286,Belley,20
01359,002,Lyon,20
01360,GEN,Genève - Annemasse (partie française),20
01361,002,Lyon,20
01362,002,Lyon,20
01363,243,Ambérieu-en-Bugey,20
01364,080,Bourg-en-Bresse,20
01365,084,Mâcon,20
01366,002,Lyon,20
01367,080,Bourg-en-Bresse,20
01368,000,Commune hors attraction des villes,30
01369,080,Bourg-en-Bresse,20
01370,084,Mâcon,12
01371,002,Lyon,20
01372,286,Belley,20
01373,000,Commune hors attraction des villes,30
01374,080,Bourg-en-Bresse,20
01375,080,Bourg-en-Bresse,20
01376,002,Lyon,20
01378,002,Lyon,20
01379,002,Lyon,20
01380,080,Bourg-en-Bresse,20
01381,002,Lyon,20
01382,002,Lyon,20
01383,002,Lyon,20
01384,243,Ambérieu-en-Bugey,20
01385,080,Bourg-en-Bresse,20
01386,505,Lagnieu,12
01387,080,Bourg-en-Bresse,20
01388,000,Commune hors attraction des villes,30
01389,002,Lyon,20
01390,002,Lyon,20
01391,080,Bourg-en-Bresse,20
01392,168,Oyonnax,20
01393,002,Lyon,20
01396,000,Commune hors attraction des villes,30
01397,GEN,Genève - Annemasse (partie française),20
01398,002,Lyon,20
01399,GEN,Genève - Annemasse (partie française),20
01400,000,Commune hors attraction des villes,30
01401,GEN,Genève - Annemasse (partie française),20
01402,000,Commune hors attraction des villes,30
01403,000,Commune hors attraction des villes,30
01404,000,Commune hors attraction des villes,30
01405,080,Bourg-en-Bresse,20
01406,000,Commune hors attraction des villes,30
01407,000,Commune hors attraction des villes,30
01408,080,Bourg-en-Bresse,20
01410,168,Oyonnax,20
01411,505,Lagnieu,20
01412,000,Commune hors attraction des villes,30
01415,652,Culoz-Béon,20
01416,000,Commune hors attraction des villes,30
01418,002,Lyon,20
01419,GEN,Genève - Annemasse (partie française),20
01420,638,Saint-Didier-sur-Chalaronne,12
01421,243,Ambérieu-en-Bugey,20
01422,080,Bourg-en-Bresse,20
01423,002,Lyon,20
01424,002,Lyon,20
01425,080,Bourg-en-Bresse,20
01426,080,Bourg-en-Bresse,20
01427,002,Lyon,20
01428,000,Commune hors attraction des villes,30
01429,080,Bourg-en-Bresse,20
01430,243,Ambérieu-en-Bugey,20
01431,243,Ambérieu-en-Bugey,20
01432,080,Bourg-en-Bresse,20
01433,000,Commune hors attraction des villes,30
01434,002,Lyon,20
01435,GEN,Genève - Annemasse (partie française),20
01436,GEN,Genève - Annemasse (partie française),20
01437,000,Commune hors attraction des villes,30
01439,084,Mâcon,20
01441,000,Commune hors attraction des villes,30
01443,002,Lyon,20
01444,000,Commune hors attraction des villes,30
01445,080,Bourg-en-Bresse,20
01446,002,Lyon,20
01447,080,Bourg-en-Bresse,20
01448,GEN,Genève - Annemasse (partie française),20
01449,000,Commune hors attraction des villes,30
01450,002,Lyon,20
01451,080,Bourg-en-Bresse,20
01452,286,Belley,20
01453,000,Commune hors attraction des villes,30
01454,286,Belley,20
01456,286,Belley,20
01457,080,Bourg-en-Bresse,20
02001,273,Chauny,20
02002,283,Tergnier,20
02003,128,Soissons,20
02004,000,Commune hors attraction des villes,30
02005,036,Reims,20
02006,000,Commune hors attraction des villes,30
02007,036,Reims,20
02008,128,Soissons,20
02009,094,Saint-Quentin,20
02010,128,Soissons,20
02011,128,Soissons,20
02012,128,Soissons,20
02013,036,Reims,20
02014,273,Chauny,20
02015,001,Paris,20
02016,283,Tergnier,20
02017,283,Tergnier,20
02018,136,Laon,20
02019,000,Commune hors attraction des villes,30
02020,308,Hirson,20
02021,000,Commune hors attraction des villes,30
02022,000,Commune hors attraction des villes,30
02023,209,Château-Thierry,20
02024,036,Reims,20
02025,094,Saint-Quentin,20
02027,136,Laon,20
02028,136,Laon,20
02029,094,Saint-Quentin,20
02030,094,Saint-Quentin,20
02031,308,Hirson,20
02032,000,Commune hors attraction des villes,30
02033,000,Commune hors attraction des villes,30
02034,000,Commune hors attraction des villes,30
02035,466,Guise,20
02036,128,Soissons,20
02037,136,Laon,20
02038,000,Commune hors attraction des villes,30
02039,136,Laon,20
02040,000,Commune hors attraction des villes,30
02041,273,Chauny,20
02042,001,Paris,20
02043,128,Soissons,20
02044,000,Commune hors attraction des villes,30
02046,136,Laon,20
02047,136,Laon,20
02048,136,Laon,20
02049,000,Commune hors attraction des villes,30
02050,494,Le Nouvion-en-Thiérache,20
02051,000,Commune hors attraction des villes,30
02052,128,Soissons,20
02053,000,Commune hors attraction des villes,30
02054,036,Reims,20
02055,308,Hirson,20
