CODGEO,AAV2020,LIBAAV2020,CATEAAV2020
28105,065,Chartres,20
28106,223,Châteaudun,20
28107,065,Chartres,20
28108,000,Commune hors attraction des villes,30
28109,065,Chartres,20
28110,065,Chartres,12
28111,252,Nogent-le-Rotrou,20
28113,001,Paris,20
28114,000,Commune hors attraction des villes,30
28116,065,Chartres,20
28117,000,Commune hors attraction des villes,30
28118,001,Paris,20
28119,000,Commune hors attraction des villes,30
28120,000,Commune hors attraction des villes,30
28121,025,Orléans,20
28122,065,Chartres,20
28123,535,Brou,20
28124,000,Commune hors attraction des villes,30
28126,223,Châteaudun,20
28127,000,Commune hors attraction des villes,30
28128,065,Chartres,20
28129,001,Paris,20
28130,065,Chartres,20
28132,223,Châteaudun,20
28134,001,Paris,20
28135,001,Paris,20
28136,001,Paris,20
28137,001,Paris,20
28139,065,Chartres,20
28140,001,Paris,20
28141,065,Chartres,20
28142,065,Chartres,20
28143,001,Paris,20
28144,252,Nogent-le-Rotrou,20
28146,001,Paris,20
28147,065,Chartres,20
28148,065,Chartres,20
28149,000,Commune hors attraction des villes,30
28151,000,Commune hors attraction des villes,30
28153,223,Châteaudun,20
28154,065,Chartres,20
28155,000,Commune hors attraction des villes,30
28156,554,La Loupe,20
28157,000,Commune hors attraction des villes,30
28158,065,Chartres,20
28159,000,Commune hors attraction des villes,30
28160,065,Chartres,20
28161,535,Brou,20
28162,065,Chartres,20
28163,065,Chartres,20
28164,001,Paris,20
28166,065,Chartres,20
28167,065,Chartres,20
28168,001,Paris,20
28169,001,Paris,20
28170,000,Commune hors attraction des villes,30
28171,000,Commune hors attraction des villes,30
28172,001,Paris,20
28173,065,Chartres,20
28175,252,Nogent-le-Rotrou,20
28176,065,Chartres,20
28177,065,Chartres,20
28178,001,Paris,20
28180,001,Paris,20
28182,223,Châteaudun,20
28183,001,Paris,20
28184,001,Paris,20
28185,001,Paris,20
28187,001,Paris,20
28188,001,Paris,20
28189,001,Paris,20
28190,025,Orléans,20
28191,001,Paris,20
28192,065,Chartres,20
28193,001,Paris,20
28194,065,Chartres,20
28195,001,Paris,20
28196,065,Chartres,20
28197,001,Paris,20
28198,223,Châteaudun,20
28199,000,Commune hors attraction des villes,30
28200,000,Commune hors attraction des villes,30
28201,065,Chartres,20
28202,000,Commune hors attraction des villes,30
28203,065,Chartres,20
28206,000,Commune hors attraction des villes,30
28207,001,Paris,20
28208,001,Paris,20
28209,065,Chartres,20
28210,001,Paris,20
28211,223,Châteaudun,20
28212,000,Commune hors attraction des villes,30
28213,001,Paris,20
28214,554,La Loupe,11
28215,001,Paris,20
28216,000,Commune hors attraction des villes,30
28217,000,Commune hors attraction des villes,30
28218,065,Chartres,12
28219,000,Commune hors attraction des villes,30
28220,065,Chartres,12
28221,025,Orléans,20
28222,065,Chartres,20
28223,001,Paris,20
28225,065,Chartres,20
28226,000,Commune hors attraction des villes,30
28227,001,Paris,20
28229,065,Chartres,12
28230,001,Paris,20
28231,000,Commune hors attraction des villes,30
28232,554,La Loupe,20
28233,223,Châteaudun,20
28234,065,Chartres,20
28235,001,Paris,20
28236,252,Nogent-le-Rotrou,20
28237,252,Nogent-le-Rotrou,20
28239,000,Commune hors attraction des villes,30
28240,554,La Loupe,20
28242,065,Chartres,20
28243,001,Paris,20
28245,065,Chartres,20
28246,065,Chartres,20
28247,001,Paris,20
28248,000,Commune hors attraction des villes,30
28249,001,Paris,20
28251,001,Paris,20
28252,000,Commune hors attraction des villes,30
28253,065,Chartres,20
28254,065,Chartres,20
28255,001,Paris,20
28256,223,Châteaudun,20
28257,001,Paris,20
28259,065,Chartres,20
28260,223,Châteaudun,20
28261,065,Chartres,20
28263,346,Verneuil d'Avre et d'Iton,20
28264,000,Commune hors attraction des villes,30
28265,000,Commune hors attraction des villes,30
28267,001,Paris,20
28268,001,Paris,20
28269,065,Chartres,20
28270,065,Chartres,20
28271,346,Verneuil d'Avre et d'Iton,20
28272,065,Chartres,20
28273,535,Brou,20
28274,001,Paris,20
28275,001,Paris,20
28276,001,Paris,20
28277,065,Chartres,20
28278,065,Chartres,20
28279,001,Paris,20
28280,252,Nogent-le-Rotrou,11
28281,065,Chartres,20
28282,065,Chartres,20
28283,000,Commune hors attraction des villes,30
28284,001,Paris,20
28285,001,Paris,20
28286,065,Chartres,20
28287,000,Commune hors attraction des villes,30
28289,001,Paris,20
28290,065,Chartres,20
28291,001,Paris,20
28292,001,Paris,20
28293,001,Paris,20
28294,001,Paris,20
28296,025,Orléans,20
28298,001,Paris,20
28299,001,Paris,20
28300,000,Commune hors attraction des villes,30
28301,065,Chartres,20
28302,065,Chartres,20
28303,025,Orléans,20
28304,065,Chartres,20
28305,065,Chartres,20
28306,065,Chartres,20
28308,000,Commune hors attraction des villes,30
28309,065,Chartres,20
28310,000,Commune hors attraction des villes,30
28312,001,Paris,20
28313,001,Paris,20
28314,000,Commune hors attraction des villes,30
28315,000,Commune hors attraction des villes,30
28316,346,Verneuil d'Avre et d'Iton,20
28317,001,Paris,20
28319,001,Paris,20
28321,001,Paris,20
28322,346,Verneuil d'Avre et d'Iton,20
28323,000,Commune hors attraction des villes,30
28324,065,Chartres,20
28325,065,Chartres,20
28326,065,Chartres,20
28327,252,Nogent-le-Rotrou,20
28329,223,Châteaudun,20
28330,223,Châteaudun,20
28331,252,Nogent-le-Rotrou,20
28332,001,Paris,20
28333,065,Chartres,20
28334,223,Châteaudun,12
28335,000,Commune hors attraction des villes,30
28336,065,Chartres,20
28337,065,Chartres,20
28339,065,Chartres,20
28341,000,Commune hors attraction des villes,30
28342,252,Nogent-le-Rotrou,20
28343,001,Paris,20
28344,001,Paris,20
28346,000,Commune hors attraction des villes,30
28347,001,Paris,20
28348,581,Nonancourt - Saint-Lubin-des-Joncherets,11
28349,001,Paris,20
28350,065,Chartres,20
28351,065,Chartres,20
28352,001,Paris,20
28353,223,Châteaudun,20
28354,554,La Loupe,20
28355,001,Paris,20
28357,001,Paris,20
28358,065,Chartres,20
28359,001,Paris,20
28360,065,Chartres,20
28362,000,Commune hors attraction des villes,30
28363,001,Paris,20
28364,065,Chartres,20
28365,065,Chartres,20
28366,001,Paris,20
28367,000,Commune hors attraction des villes,30
28368,000,Commune hors attraction des villes,30
28369,000,Commune hors attraction des villes,30
28370,065,Chartres,20
28371,001,Paris,20
28372,001,Paris,20
28373,000,Commune hors attraction des villes,30
28374,001,Paris,20
28375,001,Paris,20
28377,001,Paris,20
28378,252,Nogent-le-Rotrou,20
28379,001,Paris,20
28380,065,Chartres,20
28382,025,Orléans,20
28383,065,Chartres,20
28385,065,Chartres,20
28386,065,Chartres,20
28387,252,Nogent-le-Rotrou,20
28388,065,Chartres,20
28389,223,Châteaudun,20
28390,000,Commune hors attraction des villes,30
28391,000,Commune hors attraction des villes,30
28392,001,Paris,20
28393,065,Chartres,20
28394,000,Commune hors attraction des villes,30
28395,252,Nogent-le-Rotrou,20
28396,223,Châteaudun,20
28397,001,Paris,20
28398,535,Brou,20
28400,223,Châteaudun,20
28401,554,La Loupe,20
28403,065,Chartres,20
28404,001,Paris,20
28405,001,Paris,20
28406,065,Chartres,20
28407,252,Nogent-le-Rotrou,20
28408,001,Paris,20
28409,065,Chartres,20
28410,025,Orléans,20
28411,065,Chartres,20
28414,065,Chartres,20
28415,001,Paris,20
28417,001,Paris,20
28418,223,Châteaudun,20
28419,065,Chartres,20
28421,001,Paris,20
28422,065,Chartres,20
28423,001,Paris,20
28424,535,Brou,20
28425,001,Paris,20
28426,065,Chartres,20
29001,353,Crozon,20
29002,214,Quimperlé,20
29003,000,Commune hors attraction des villes,30
29004,000,Commune hors attraction des villes,30
29005,214,Quimperlé,20
29006,052,Quimper,20
29007,000,Commune hors attraction des villes,30
29008,000,Commune hors attraction des villes,30
29010,289,Landivisiau,20
29011,032,Brest,20
29012,000,Commune hors attraction des villes,30
29013,000,Commune hors attraction des villes,30
29014,149,Morlaix,20
29015,032,Brest,20
29016,272,Pleyben - Châteaulin,20
29017,032,Brest,20
29018,000,Commune hors attraction des villes,30
29019,032,Brest,11
29020,052,Quimper,20
29021,000,Commune hors attraction des villes,30
29022,353,Crozon,12
29023,149,Morlaix,20
29024,305,Carhaix-Plouguer,11
29025,272,Pleyben - Châteaulin,20
29026,272,Pleyben - Châteaulin,11
29027,531,Châteauneuf-du-Faou,11
29028,000,Commune hors attraction des villes,30
29029,305,Carhaix-Plouguer,20
29030,296,Roscoff - Saint-Pol-de-Léon,20
29031,214,Quimperlé,20
29032,052,Quimper,20
29033,272,Pleyben - Châteaulin,20
29034,149,Morlaix,20
29035,032,Brest,20
29036,531,Châteauneuf-du-Faou,20
29037,052,Quimper,20
29038,000,Commune hors attraction des villes,30
29039,052,Quimper,20
29040,032,Brest,20
29041,052,Quimper,20
29042,353,Crozon,11
29043,032,Brest,20
29044,272,Pleyben - Châteaulin,20
29045,032,Brest,20
29046,052,Quimper,20
29047,032,Brest,20
29048,052,Quimper,20
29049,052,Quimper,20
29051,052,Quimper,20
29053,032,Brest,20
29054,000,Commune hors attraction des villes,30
29055,032,Brest,20
29056,032,Brest,20
29057,052,Quimper,20
29058,052,Quimper,20
29059,149,Morlaix,20
29060,052,Quimper,20
29061,032,Brest,20
29062,052,Quimper,20
29063,000,Commune hors attraction des villes,30
29064,000,Commune hors attraction des villes,30
29065,052,Quimper,20
29066,052,Quimper,20
29067,000,Commune hors attraction des villes,30
29068,289,Landivisiau,20
29069,032,Brest,20
29070,052,Quimper,20
29071,000,Commune hors attraction des villes,30
29072,000,Commune hors attraction des villes,30
29073,000,Commune hors attraction des villes,30
29074,289,Landivisiau,20
29075,032,Brest,20
29076,032,Brest,20
29077,032,Brest,20
29078,032,Brest,20
29079,149,Morlaix,20
29080,032,Brest,20
29081,000,Commune hors attraction des villes,30
29082,000,Commune hors attraction des villes,30
29083,000,Commune hors attraction des villes,30
29084,000,Commune hors attraction des villes,30
29085,052,Quimper,20
29086,032,Brest,20
29087,052,Quimper,20
29089,305,Carhaix-Plouguer,20
29090,052,Quimper,20
29091,032,Brest,20
29093,032,Brest,20
29094,032,Brest,20
29095,032,Brest,20
29097,289,Landivisiau,12
29098,032,Brest,20
29099,032,Brest,20
29100,032,Brest,20
29101,032,Brest,20
29102,305,Carhaix-Plouguer,20
29103,032,Brest,20
29104,353,Crozon,20
29105,289,Landivisiau,11
29106,052,Quimper,20
29107,052,Quimper,20
29108,052,Quimper,20
29109,032,Brest,20
29110,052,Quimper,20
29111,000,Commune hors attraction des villes,30
29112,032,Brest,20
29113,149,Morlaix,20
29114,149,Morlaix,20
29115,272,Pleyben - Châteaulin,20
29116,000,Commune hors attraction des villes,30
29117,032,Brest,20
29119,032,Brest,20
29120,353,Crozon,12
29122,531,Châteauneuf-du-Faou,20
29123,272,Pleyben - Châteaulin,20
29124,032,Brest,20
29125,052,Quimper,20
29126,032,Brest,20
29128,289,Landivisiau,20
29130,032,Brest,20
29131,289,Landivisiau,20
29132,149,Morlaix,20
29133,000,Commune hors attraction des villes,30
29134,052,Quimper,20
29135,052,Quimper,20
29136,214,Quimperlé,20
29137,032,Brest,20
29139,272,Pleyben - Châteaulin,20
29140,032,Brest,20
29141,272,Pleyben - Châteaulin,20
29142,052,Quimper,20
29143,000,Commune hors attraction des villes,30
29144,000,Commune hors attraction des villes,30
29145,000,Commune hors attraction des villes,30
29146,052,Quimper,20
29147,214,Quimperlé,20
29148,296,Roscoff - Saint-Pol-de-Léon,20
29150,214,Quimperlé,20
29151,149,Morlaix,11
29152,305,Carhaix-Plouguer,20
29153,000,Commune hors attraction des villes,30
29155,000,Commune hors attraction des villes,30
29156,032,Brest,20
29158,000,Commune hors attraction des villes,30
29159,052,Quimper,20
29160,032,Brest,20
29161,052,Quimper,20
29162,272,Pleyben - Châteaulin,12
29163,149,Morlaix,20
29165,052,Quimper,20
29166,052,Quimper,20
29167,052,Quimper,20
29168,000,Commune hors attraction des villes,30
29169,052,Quimper,20
29170,052,Quimper,20
29171,000,Commune hors attraction des villes,30
29172,272,Pleyben - Châteaulin,20
29173,052,Quimper,20
29174,052,Quimper,20
29175,531,Châteauneuf-du-Faou,20
29176,052,Quimper,20
29177,032,Brest,20
29178,032,Brest,20
29179,032,Brest,20
29180,000,Commune hors attraction des villes,30
29181,032,Brest,20
29182,149,Morlaix,20
29183,149,Morlaix,20
29184,296,Roscoff - Saint-Pol-de-Léon,20
29185,000,Commune hors attraction des villes,30
29186,149,Morlaix,20
29187,289,Landivisiau,20
29188,149,Morlaix,20
29189,032,Brest,20
29190,032,Brest,20
29191,149,Morlaix,20
29192,296,Roscoff - Saint-Pol-de-Léon,20
29193,289,Landivisiau,20
29195,032,Brest,20
29196,032,Brest,20
29197,000,Commune hors attraction des villes,30
29198,000,Commune hors attraction des villes,30
29199,149,Morlaix,20
29201,032,Brest,20
29202,149,Morlaix,20
29204,000,Commune hors attraction des villes,30
29205,305,Carhaix-Plouguer,20
29206,000,Commune hors attraction des villes,30
29207,149,Morlaix,20
29208,032,Brest,20
29209,032,Brest,20
29210,289,Landivisiau,20
29211,305,Carhaix-Plouguer,20
29212,032,Brest,20
29213,000,Commune hors attraction des villes,30
29214,052,Quimper,20
29215,052,Quimper,20
29216,052,Quimper,20
29217,000,Commune hors attraction des villes,30
29218,000,Commune hors attraction des villes,30
29220,052,Quimper,20
29221,032,Brest,20
29222,272,Pleyben - Châteaulin,12
29224,052,Quimper,20
29225,052,Quimper,20
29226,000,Commune hors attraction des villes,30
29227,305,Carhaix-Plouguer,20
29228,000,Commune hors attraction des villes,30
29229,052,Quimper,20
29230,214,Quimperlé,20
29232,052,Quimper,11
29233,214,Quimperlé,11
29234,053,Lorient,20
29235,032,Brest,20
29236,000,Commune hors attraction des villes,30
29237,032,Brest,20
29238,353,Crozon,20
29239,296,Roscoff - Saint-Pol-de-Léon,12
29240,272,Pleyben - Châteaulin,20
29241,052,Quimper,20
29243,272,Pleyben - Châteaulin,20
29244,000,Commune hors attraction des villes,30
29245,032,Brest,20
29246,000,Commune hors attraction des villes,30
29247,052,Quimper,20
29248,032,Brest,20
29249,531,Châteauneuf-du-Faou,20
29250,305,Carhaix-Plouguer,20
29251,149,Morlaix,20
29252,052,Quimper,20
29254,149,Morlaix,20
29255,032,Brest,20
29256,272,Pleyben - Châteaulin,20
29257,032,Brest,20
29259,296,Roscoff - Saint-Pol-de-Léon,11
29260,032,Brest,20
29261,000,Commune hors attraction des villes,30
29262,289,Landivisiau,20
29263,272,Pleyben - Châteaulin,12
29264,032,Brest,20
29265,149,Morlaix,20
29266,149,Morlaix,20
29267,052,Quimper,20
29268,032,Brest,20
29269,214,Quimperlé,20
29270,032,Brest,20
29271,289,Landivisiau,20
29272,052,Quimper,20
29273,296,Roscoff - Saint-Pol-de-Léon,20
29274,000,Commune hors attraction des villes,30
29275,000,Commune hors attraction des villes,30
29276,296,Roscoff - Saint-Pol-de-Léon,20
29277,000,Commune hors attraction des villes,30
29278,305,Carhaix-Plouguer,20
29279,149,Morlaix,20
29280,353,Crozon,20
29281,052,Quimper,20
29282,032,Brest,20
29284,052,Quimper,20
29285,296,Roscoff - Saint-Pol-de-Léon,20
29286,000,Commune hors attraction des villes,30
29287,000,Commune hors attraction des villes,30
29288,032,Brest,20
29289,272,Pleyben - Châteaulin,20
29290,032,Brest,20
29291,052,Quimper,20
29292,052,Quimper,20
29293,000,Commune hors attraction des villes,30
29294,000,Commune hors attraction des villes,30
29295,032,Brest,20
29296,052,Quimper,20
29297,214,Quimperlé,20
29298,052,Quimper,20
29299,032,Brest,20
29300,214,Quimperlé,20
29301,000,Commune hors attraction des villes,30
29302,272,Pleyben - Châteaulin,12
2A001,098,Ajaccio,20
2A004,098,Ajaccio,11
2A006,098,Ajaccio,20
2A008,098,Ajaccio,20
2A011,540,Propriano,20
2A014,098,Ajaccio,20
2A017,098,Ajaccio,20
2A018,540,Propriano,20
2A019,098,Ajaccio,20
2A021,098,Ajaccio,20
2A022,098,Ajaccio,20
2A024,000,Commune hors attraction des villes,30
2A026,098,Ajaccio,20
2A027,098,Ajaccio,20
2A028,098,Ajaccio,20
2A031,098,Ajaccio,20
2A032,098,Ajaccio,20
2A035,540,Propriano,20
2A038,000,Commune hors attraction des villes,30
2A040,098,Ajaccio,20
2A041,000,Commune hors attraction des villes,30
2A048,098,Ajaccio,20
2A056,098,Ajaccio,20
2A060,098,Ajaccio,20
2A061,298,Porto-Vecchio,20
2A062,098,Ajaccio,20
2A064,098,Ajaccio,20
2A065,000,Commune hors attraction des villes,30
2A066,098,Ajaccio,20
2A070,098,Ajaccio,20
2A071,000,Commune hors attraction des villes,30
2A085,098,Ajaccio,20
2A089,098,Ajaccio,20
2A090,098,Ajaccio,20
2A091,098,Ajaccio,20
2A092,298,Porto-Vecchio,20
2A094,098,Ajaccio,20
2A098,098,Ajaccio,20
2A099,098,Ajaccio,20
2A100,098,Ajaccio,20
2A103,098,Ajaccio,20
2A104,098,Ajaccio,20
2A108,000,Commune hors attraction des villes,30
2A114,298,Porto-Vecchio,20
2A115,000,Commune hors attraction des villes,30
2A117,098,Ajaccio,20
2A118,540,Propriano,20
2A119,098,Ajaccio,20
2A127,000,Commune hors attraction des villes,30
2A128,540,Propriano,20
2A129,540,Propriano,20
2A130,098,Ajaccio,20
2A131,098,Ajaccio,20
2A132,098,Ajaccio,20
2A133,098,Ajaccio,20
2A139,298,Porto-Vecchio,20
2A141,098,Ajaccio,20
2A142,000,Commune hors attraction des villes,30
2A144,098,Ajaccio,20
2A146,098,Ajaccio,20
2A154,098,Ajaccio,20
2A158,000,Commune hors attraction des villes,30
2A160,098,Ajaccio,20
2A163,298,Porto-Vecchio,20
2A174,098,Ajaccio,20
2A181,098,Ajaccio,20
2A186,098,Ajaccio,20
2A189,540,Propriano,20
2A191,540,Propriano,20
2A196,098,Ajaccio,20
2A197,000,Commune hors attraction des villes,30
2A198,000,Commune hors attraction des villes,30
2A200,098,Ajaccio,20
2A203,000,Commune hors attraction des villes,30
2A204,098,Ajaccio,20
2A209,098,Ajaccio,20
2A211,098,Ajaccio,20
2A212,000,Commune hors attraction des villes,30
2A215,298,Porto-Vecchio,20
2A228,098,Ajaccio,20
2A232,098,Ajaccio,20
2A240,098,Ajaccio,20
2A247,298,Porto-Vecchio,11
2A249,540,Propriano,11
2A253,098,Ajaccio,20
2A254,000,Commune hors attraction des villes,30
2A258,098,Ajaccio,20
2A259,098,Ajaccio,20
2A262,098,Ajaccio,20
2A266,098,Ajaccio,20
2A268,098,Ajaccio,20
2A269,000,Commune hors attraction des villes,30
2A270,098,Ajaccio,20
2A271,098,Ajaccio,20
2A272,000,Commune hors attraction des villes,30
2A276,000,Commune hors attraction des villes,30
2A278,000,Commune hors attraction des villes,30
2A279,000,Commune hors attraction des villes,30
2A282,098,Ajaccio,20
2A284,540,Propriano,20
2A285,000,Commune hors attraction des villes,30
2A288,298,Porto-Vecchio,20
2A295,098,Ajaccio,20
2A300,298,Porto-Vecchio,20
2A308,540,Propriano,20
2A310,540,Propriano,20
2A312,098,Ajaccio,20
2A322,098,Ajaccio,20
2A323,098,Ajaccio,20
2A324,098,Ajaccio,20
2A326,098,Ajaccio,20
2A330,098,Ajaccio,20
2A331,098,Ajaccio,20
2A336,098,Ajaccio,20
2A345,098,Ajaccio,20
2A348,098,Ajaccio,20
2A349,540,Propriano,12
2A351,098,Ajaccio,20
2A357,098,Ajaccio,20
2A358,098,Ajaccio,20
2A359,000,Commune hors attraction des villes,30
2A360,098,Ajaccio,20
2A362,298,Porto-Vecchio,20
2A363,098,Ajaccio,20
2B002,000,Commune hors attraction des villes,30
2B003,414,Corte,20
2B005,104,Bastia,20
2B007,000,Commune hors attraction des villes,30
2B009,000,Commune hors attraction des villes,30
2B010,000,Commune hors attraction des villes,30
2B012,414,Corte,20
2B013,414,Corte,20
2B015,414,Corte,20
2B016,000,Commune hors attraction des villes,30
2B020,430,Calvi,20
2B023,000,Commune hors attraction des villes,30
2B025,430,Calvi,20
2B029,104,Bastia,20
2B030,104,Bastia,20
2B033,104,Bastia,11
2B034,495,L'Île-Rousse,20
2B036,104,Bastia,20
2B037,104,Bastia,20
2B039,104,Bastia,20
2B042,104,Bastia,20
2B043,104,Bastia,20
2B045,104,Bastia,20
2B046,104,Bastia,20
2B047,000,Commune hors attraction des villes,30
2B049,430,Calvi,20
2B050,430,Calvi,11
2B051,104,Bastia,20
2B052,104,Bastia,20
2B053,000,Commune hors attraction des villes,30
2B054,104,Bastia,20
2B055,104,Bastia,20
2B057,000,Commune hors attraction des villes,30
2B058,104,Bastia,20
2B059,000,Commune hors attraction des villes,30
2B063,104,Bastia,20
2B067,000,Commune hors attraction des villes,30
2B068,104,Bastia,20
2B069,104,Bastia,20
2B072,104,Bastia,20
2B073,414,Corte,20
2B074,414,Corte,20
2B075,000,Commune hors attraction des villes,30
2B077,104,Bastia,20
2B078,414,Corte,20
2B079,104,Bastia,20
2B080,000,Commune hors attraction des villes,30
2B081,414,Corte,20
2B082,414,Corte,20
2B083,414,Corte,20
2B084,430,Calvi,20
2B086,000,Commune hors attraction des villes,30
2B087,000,Commune hors attraction des villes,30
2B088,000,Commune hors attraction des villes,30
2B093,495,L'Île-Rousse,20
2B095,000,Commune hors attraction des villes,30
2B096,414,Corte,11
2B097,495,L'Île-Rousse,20
2B101,104,Bastia,20
2B102,104,Bastia,20
2B105,414,Corte,20
2B106,104,Bastia,20
2B107,000,Commune hors attraction des villes,30
2B109,104,Bastia,20
2B110,414,Corte,20
2B111,000,Commune hors attraction des villes,30
2B112,430,Calvi,20
2B113,104,Bastia,20
2B116,414,Corte,20
2B120,104,Bastia,20
2B121,000,Commune hors attraction des villes,30
2B122,414,Corte,20
2B123,000,Commune hors attraction des villes,30
2B124,000,Commune hors attraction des villes,30
2B125,104,Bastia,20
2B126,000,Commune hors attraction des villes,30
2B134,495,L'Île-Rousse,11
2B135,000,Commune hors attraction des villes,30
2B136,000,Commune hors attraction des villes,30
2B137,104,Bastia,20
2B138,430,Calvi,20
2B140,104,Bastia,20
2B143,000,Commune hors attraction des villes,30
2B145,104,Bastia,20
2B147,000,Commune hors attraction des villes,30
2B148,104,Bastia,20
2B149,000,Commune hors attraction des villes,30
2B150,430,Calvi,20
2B152,104,Bastia,20
2B153,430,Calvi,20
2B155,000,Commune hors attraction des villes,30
2B156,000,Commune hors attraction des villes,30
2B157,000,Commune hors attraction des villes,30
2B159,000,Commune hors attraction des villes,30
2B161,000,Commune hors attraction des villes,30
2B162,414,Corte,20
2B164,104,Bastia,20
2B165,430,Calvi,20
2B166,104,Bastia,20
2B167,430,Calvi,20
2B168,495,L'Île-Rousse,20
2B169,000,Commune hors attraction des villes,30
2B170,000,Commune hors attraction des villes,30
2B171,000,Commune hors attraction des villes,30
2B172,104,Bastia,20
2B173,430,Calvi,20
2B175,430,Calvi,20
2B176,104,Bastia,20
2B177,000,Commune hors attraction des villes,30
2B178,104,Bastia,20
2B179,000,Commune hors attraction des villes,30
2B180,495,L'Île-Rousse,20
2B182,495,L'Île-Rousse,20
2B183,104,Bastia,20
2B184,104,Bastia,20
2B185,104,Bastia,20
2B187,104,Bastia,20
2B188,104,Bastia,20
2B190,000,Commune hors attraction des villes,30
2B192,104,Bastia,20
2B193,414,Corte,20
2B194,000,Commune hors attraction des villes,30
2B195,104,Bastia,20
2B199,495,L'Île-Rousse,20
2B201,000,Commune hors attraction des villes,30
2B202,000,Commune hors attraction des villes,30
2B205,104,Bastia,20
2B206,104,Bastia,20
2B207,104,Bastia,20
2B208,000,Commune hors attraction des villes,30
2B210,104,Bastia,20
2B213,104,Bastia,20
2B214,104,Bastia,20
2B216,000,Commune hors attraction des villes,30
2B217,104,Bastia,20
2B218,000,Commune hors attraction des villes,30
2B219,104,Bastia,20
2B220,414,Corte,20
2B221,104,Bastia,20
2B222,104,Bastia,20
2B223,000,Commune hors attraction des villes,30
2B224,104,Bastia,20
2B225,000,Commune hors attraction des villes,30
2B226,000,Commune hors attraction des villes,30
2B227,000,Commune hors attraction des villes,30
2B229,000,Commune hors attraction des villes,30
2B230,104,Bastia,20
2B231,000,Commune hors attraction des villes,30
2B233,104,Bastia,20
2B234,000,Commune hors attraction des villes,30
2B235,000,Commune hors attraction des villes,30
2B236,000,Commune hors attraction des villes,30
2B238,414,Corte,20
2B239,104,Bastia,20
2B241,104,Bastia,20
2B242,000,Commune hors attraction des villes,30
2B243,104,Bastia,20
2B244,414,Corte,20
2B245,104,Bastia,20
2B246,104,Bastia,20
2B248,414,Corte,20
2B250,104,Bastia,20
2B251,000,Commune hors attraction des villes,30
2B252,104,Bastia,20
2B255,000,Commune hors attraction des villes,30
2B256,104,Bastia,20
2B257,104,Bastia,20
2B260,414,Corte,20
2B261,000,Commune hors attraction des villes,30
2B263,414,Corte,20
2B264,104,Bastia,20
2B265,104,Bastia,20
2B267,414,Corte,20
2B273,104,Bastia,20
2B274,104,Bastia,20
2B275,414,Corte,20
2B277,000,Commune hors attraction des villes,30
2B280,104,Bastia,20
2B281,104,Bastia,20
2B283,000,Commune hors attraction des villes,30
2B286,104,Bastia,20
2B287,104,Bastia,20
2B289,414,Corte,20
2B290,495,L'Île-Rousse,20
2B291,104,Bastia,20
2B292,414,Corte,20
2B293,000,Commune hors attraction des villes,30
2B296,430,Calvi,20
2B297,104,Bastia,20
2B298,000,Commune hors attraction des villes,30
2B299,104,Bastia,20
2B301,104,Bastia,20
2B302,000,Commune hors attraction des villes,30
2B303,000,Commune hors attraction des villes,30
2B304,414,Corte,20
2B305,104,Bastia,20
2B306,414,Corte,20
2B307,000,Commune hors attraction des villes,30
2B309,104,Bastia,20
2B311,000,Commune hors attraction des villes,30
2B313,000,Commune hors attraction des villes,30
2B314,000,Commune hors attraction des villes,30
2B315,414,Corte,20
2B316,495,L'Île-Rousse,20
2B317,000,Commune hors attraction des villes,30
2B318,104,Bastia,20
2B319,104,Bastia,20
2B320,000,Commune hors attraction des villes,30
2B321,000,Commune hors attraction des villes,30
2B327,000,Commune hors attraction des villes,30
2B328,000,Commune hors attraction des villes,30
2B329,414,Corte,20
2B332,495,L'Île-Rousse,20
2B333,104,Bastia,20
2B334,000,Commune hors attraction des villes,30
2B335,000,Commune hors attraction des villes,30
2B337,104,Bastia,20
2B338,000,Commune hors attraction des villes,30
2B339,000,Commune hors attraction des villes,30
2B340,104,Bastia,20
2B341,414,Corte,20
2B342,000,Commune hors attraction des villes,30
2B343,104,Bastia,20
2B344,104,Bastia,20
2B346,104,Bastia,20
2B347,000,Commune hors attraction des villes,30
2B350,104,Bastia,20
2B352,495,L'Île-Rousse,20
2B353,104,Bastia,20
2B354,414,Corte,20
2B355,104,Bastia,20
2B356,000,Commune hors attraction des villes,30
2B361,430,Calvi,20
2B364,414,Corte,20
2B365,000,Commune hors attraction des villes,30
2B366,000,Commune hors attraction des villes,30
30001,325,Uzès,20
30002,037,Nîmes,20
30003,316,Le Grau-du-Roi,12
30004,037,Nîmes,20
30005,376,Pont-Saint-Esprit,20
30006,012,Montpellier,20
30007,089,Alès,11
30008,089,Alès,20
30009,467,Le Vigan,20
30010,089,Alès,20
30011,040,Avignon,12
30012,040,Avignon,20
30013,325,Uzès,20
30014,325,Uzès,20
30015,467,Le Vigan,20
30016,467,Le Vigan,20
30017,467,Le Vigan,20
30018,012,Montpellier,20
30019,012,Montpellier,20
30020,037,Nîmes,20
30021,325,Uzès,20
30022,000,Commune hors attraction des villes,30
30023,037,Nîmes,20
30024,467,Le Vigan,20
30025,467,Le Vigan,20
30026,467,Le Vigan,12
30027,089,Alès,20
30028,185,Bagnols-sur-Cèze,11
30029,000,Commune hors attraction des villes,30
30030,037,Nîmes,20
30031,000,Commune hors attraction des villes,30
30032,222,Beaucaire,11
30033,037,Nîmes,20
