categorie_desc;pop20;evol_pop;conso_enaf_total;conso_enaf_par_hab;conso_par_nouvel_hab;densite_pop;taux_evol_pop
Grande;14317594;310781;39838423;2.8225618671221904;-586.8705412199756;255.26793312091823;2.3071704855954733
Hors attraction;7235999;26330;35226174;4.868183923187385;1337.8721610330422;28.07966661470776;0.3652040058981903
Moyenne;11798649;81288;44646508;3.9822843259817216;114.0473542438006;128.69808378281445;0.5711210407499198
Métropole;13125142;252906;8497989;0.6474588236835838;33.601373632891274;689.4688266158888;1.9647402362728588
Petite;7968605;-51206;37294010;4.256669381038203;-199.58265712443958;112.47274191245764;-0.8054221659888277
Très grande;12715737;634848;27145946;2.2158455625376146;51.967694085644915;375.1791039936556;5.528653027580449
