AAV2020;LIBAAV2020;TAAV2017;TDAAV2017;NB_COM;AAV;pop20;surfcom2023;artif_total;artif_par_hab;art22act23;art22hab23;ratio_act_hab;densite_pop;mepart1420;artpop1420;categorie_taille
053;Lorient;3;31;31;053;228023;851479665;9373976;2107.7891652855674;57784;450033;0.29335008532919954;4.737155999620653;59.446451612903225;16236.7;Petite
054;Troyes;3;31;209;054;221309;2809935098;11479598;21417.170891043465;95752;324216;1.2878843011158232;1.268952688815936;-35.49497607655502;53451.780000000006;Petite
055;Saint-Nazaire;3;31;24;055;217944;781823099;10060665;1636.3833410022808;186786;377111;0.41735023281382844;3.0769133383085596;50.78541666666666;6090.74;Petite
056;Saint-Brieuc;3;31;51;056;202029;1071049071;16755048;5933.740276890629;157852;996890;0.1455434814954168;2.6188848575017682;3.363725490196078;97968.77;Petite
057;Vannes;2;25;47;057;205495;1196569351;15026583;5149.579949812565;97710;615134;0.3708447428765033;2.0104528095981493;16.7;-13508.050000000001;Petite
058;Colmar;2;25;95;058;199614;1106452652;6602624;4431.130873941496;67958;137684;1.1547393249985616;1.7330898455354744;15.089157894736843;-11591.92;Petite
059;Douai;2;25;61;059;198120;381006930;6814953;3171.201732352118;141821;178717;1.7215233307289566;4.732252282860964;27.883114754098358;47672.19;Petite
060;Béziers;2;25;53;060;198254;933965816;11615148;4207.180142482705;94675;579436;0.27356793915752614;2.0656173141204732;18.41698113207547;37904.37;Petite
061;Montbéliard;2;25;137;061;179555;919887216;6244985;8687.82224555703;69526;235198;0.5664792983275606;2.0896106994234804;67.78802919708029;32435.899999999998;Petite
062;Angoulême;2;25;94;062;180300;1514822411;14850381;12843.345750448756;276151;533190;0.1733426139507916;1.4470012536927634;-2.5187234042553195;6875.460000000001;Petite
063;Niort;2;25;91;063;178229;1756465814;14262519;9853.573929719403;233256;496362;1.1930841319297352;0.802768789625941;-4.11;-142501.49;Petite
064;Bourges;2;25;111;064;174160;2674719149;14516492;15614.465702505522;59672;627795;0.1459837829436111;0.5447943297749148;-26.007767857142856;-73146.11;Petite
065;Chartres;2;25;117;065;170962;1938594232;9071905;9975.770518590964;202224;512074;0.0928801884595503;1.3535324998052234;-9.436752136752135;-75377.03;Petite
066;La Roche-sur-Yon;2;25;45;066;172205;1384420152;19143737;6227.530451082509;144366;577520;0.49757732395967896;1.007475347633089;11.057777777777778;61331.64;Petite
067;Cholet;2;25;26;067;163812;1141834996;11664758;2607.801969455115;120006;264996;0.8538442145259927;1.3688724087948085;20.471153846153847;2900.47;Petite
068;Boulogne-sur-Mer;2;25;80;068;159605;674299507;5060193;5885.682481953803;13008;220167;0.16400565298210099;2.619678805809065;19.872374999999998;-62183.78;Petite
069;Arras;2;25;163;069;159432;1018038840;8428127;12729.373301733134;83126;176413;0.7706199518144856;1.372831290536936;163.2134969325153;7707.88;Petite
070;Chalon-sur-Saône;2;25;109;070;154796;1319063449;8348908;10018.444760266486;64085;370951;0.06867788830103451;1.1617282097466988;4.357614678899083;85757.08;Petite
071;Cherbourg-en-Cotentin;2;25;77;071;151356;1022529445;9719438;9144.71184335727;69391;300329;0.9020664062459445;0.9123962762929169;8.617792207792208;109307.08;Petite
072;Narbonne;2;25;71;072;154923;1371021656;11029162;7815.749035144016;24508;449267;0.10137774917724825;0.93459465453844;9.763380281690141;-23975.57;Petite
073;Calais;2;25;45;073;144625;507593922;7150735;4398.783938461065;77594;265496;0.23174095733807715;1.8597699084894646;8.915333333333333;-2547.3199999999997;Petite
074;Blois;2;24;78;074;145019;1539577629;11322262;15240.176836667719;369157;483816;1.6410041172930103;1.0069631885256856;0.6020512820512819;-52484.17;Petite
075;Laval;2;24;66;075;144900;1447678281;15152412;9686.077506029482;114187;549807;0.15281746096630425;0.8849449379926274;2.107575757575757;1466.7700000000018;Petite
076;Beauvais;2;24;162;076;144802;1332384808;9721757;15234.081852638446;101324;256959;0.5487986860719986;0.7611792827307367;7.903024691358024;-27307.280000000002;Petite
077;Maubeuge (partie française);2;24;65;077;140491;506994524;5271907;4111.077168736121;97660;83694;3.7727265379770554;2.507762911295156;96.27553846153847;-52576.78;Petite
